date,pv1,pv2,pv3,pv4,pv5,pv6,fv1,fv2,fv3,fv4,fv5,fv6
2020-7-30,4498624,470000,9830000,500000,0,0,4937717,545331,10121786,525302,0,0
2020-7-31,4508624,480000,9830000,500000,0,0,4831316,556450,10099291,527658,0,0
2020-8-3,4508624,485000,9830000,500000,0,0,4775123,556879,10383536,526095,0,0
2020-8-4,4508624,490000,9830000,500000,0,0,4832148,562470,10523504,527548,0,0
2020-8-5,4508624,495000,9830000,500000,0,0,4819734,574162,10552064,525515,0,0
2020-8-6,4508624,500000,9930000,500000,0,0,4898246,586454,10789888,538791,0,0
2020-8-10,4508624,510000,9930000,500000,0,0,4875041,607729,10777703,530187,0,0
2020-8-13,4508624,525000,9930000,500000,0,0,4957271,641336,10830636,549380,0,0
2020-8-14,4508624,530000,9930000,500000,0,0,4921983,638605,10856760,566922,0,0
2020-8-18,4508624,535000,9930000,500000,0,0,4882223,643606,10879371,578510,0,0
2020-8-19,4508624,540000,9950000,500000,0,0,4867018,636154,10858365,575855,0,0
2020-8-23,5108624,550000,10950000,500000,0,0,5308250,632356,12098287,597849,0,0
2020-8-24,5108624,555000,10950000,500000,0,0,5313037,637356,12255653,598724,0,0
2020-8-26,5108624,565000,12070000,650000,0,0,5344165,663528,13474055,790733,0,0
2020-8-27,5108624,570000,12170000,650000,0,0,5282346,670048,13571060,789527,0,0
2020-8-28,5108624,575000,12320000,650000,0,0,5273859,669213,13784262,789792,0,0
2020-8-31,5108624,580000,12320000,650000,0,0,5212115,676400,13849649,813256,0,0
2020-9-1,5138624,585000,12350000,650000,0,0,5205949,670200,14039616,809482,0,0
2020-9-2,5138624,590000,12350000,660000,0,0,5227276,681165,14213175,825778,0,0
2020-9-3,5138624,595000,12350000,660000,0,0,5342628,690126,13595734,778657,0,0
2020-9-4,5138624,600000,12350000,660000,0,0,5284571,706431,13544717,767879,0,0
2020-9-9,5738624,615000,13850000,860000,3050000,0,6090614,714408,14830150,931686,3000000,0
2020-9-10,5738624,620000,13850000,860000,3050000,0,6178706,719409,14551550,923896,2985524,0
2020-9-11,5738624,625000,13850000,860000,3050000,0,6181446,731394,14511804,919945,2989091,0
2020-9-14,5738624,630000,13850000,860000,3252000,0,6290176,735779,14691574,945500,3189822,0
2020-9-15,5738624,640000,13850000,860000,3454000,0,6337411,762192,14737564,974574,3384161,0
2020-9-18,5488624,650000,14350000,860000,3454000,0,5967159,758344,14493211,929663,3319051,0
2020-9-22,5738624,660000,14800000,1060000,3454000,0,6155590,745418,15150824,1132848,3291846,0
2020-9-24,5838624,670000,15100000,1060000,3454000,0,6188039,739366,15195497,1090773,3291846,0
2020-9-25,6238624,675000,16220000,1510000,3959000,0,6620861,744367,16627548,1565094,3797852,0
2020-9-28,6238624,680000,16420000,1510000,3959000,0,6648046,752529,17106850,1585436,3806799,0
2020-10-5,6238624,690000,16420000,1510000,3959000,0,6690514,778784,17115057,1606828,3788046,0
2020-10-6,6238624,695000,16420000,1510000,3959000,0,6748825,794381,16869012,1569619,3772171,0
2020-10-7,6238624,700000,16420000,1510000,3959000,0,6787537,801744,17115767,1590404,3784313,0
2020-10-8,6238624,705000,16420000,1510000,3959000,0,6802596,814217,17352729,1636802,3797640,0
2020-10-12,6238624,710000,16420000,1510000,3959000,0,6927046,820078,17719237,1692558,3796116,0
2020-10-13,6238624,715000,16420000,1510000,3959000,0,6998682,828970,17517706,1696841,3784612,0
2020-10-19,6238624,735000,16420000,1510000,3959000,0,6910994,829122,16936628,1632312,3712571,0
2020-10-20,6238624,740000,16420000,1510000,3959000,0,6971184,835584,16948650,1642150,3708328,0
2020-10-23,6988624,755000,18220000,1910000,4161000,0,7706144,853667,18673164,2091616,3902209,0
2020-10-26,6988624,765000,18220000,1910000,4161000,0,7711782,863491,18428223,2061773,3845563,0
2020-10-27,6988624,765000,18220000,1910000,4161000,0,7667645,863471,18424090,2086461,3835186,0
2020-10-28,6988624,770000,18220000,1910000,4161000,0,7605795,863491,17815470,1999539,3768458,0
2020-10-29,6988624,775000,18340000,1910000,4161000,0,7460984,863486,18219506,2042002,3794737,0
2020-10-30,6988624,780000,19240000,1910000,4161000,0,7256340,868487,18692632,2021505,3757107,0
2020-11-2,6988624,785000,19240000,1910000,4161000,0,7373566,850914,18922931,2030252,3800203,0
2020-11-3,6988624,790000,19240000,1910000,4161000,0,7490033,867727,19251506,2071971,3844617,0
2020-11-4,6988624,795000,19240000,1910000,4161000,0,7517929,890338,19850088,2170787,3912428,0
2020-11-6,6988624,805000,19240000,1910000,4161000,0,7710136,929505,19967103,2198853,3916477,0
2020-11-9,6988624,810000,19240000,0,1910000,4161000,7795244,934505,19921122,81429,2155885,3926455
2020-11-10,6988624,815000,19240000,0,1910000,4161000,7873888,951834,19931836,81429,2110076,3936606
2020-11-11,6988624,820000,19240000,0,1910000,4161000,8067843,957866,20109006,81429,2141449,3947351
2020-11-13,6988624,830000,19240000,0,1910000,4161000,8151123,988273,20200899,81429,2146171,3967637
2020-11-16,6988624,835000,19240000,0,1910000,4161000,8443792,993274,20298555,81429,2148757,3972656
2020-11-18,6988624,845000,19240000,0,1910000,4161000,8372543,1023820,19862164,81429,2186466,3951845
2020-11-19,6988624,850000,19240000,0,1910000,4161000,8321749,1029530,20206205,81429,2209165,3991797
2020-11-23,7188624,860000,19640000,0,1910000,4363000,8880435,1064718,20396401,81429,2207717,4201111
2020-11-25,7438624,870000,20640000,0,2060000,4666000,9101735,1072882,21654231,79962,2440382,4511342
2020-11-26,7438624,875000,20640000,0,2060000,4666000,9227130,1077884,21654231,79962,2440382,4511342
2020-11-27,7438624,880000,20640000,0,2060000,4666000,9232633,1094795,21668784,79033,2463859,4516179
2020-11-30,7438624,885000,20740000,0,2060000,4666000,9075190,1102003,21811376,80306,2423482,4474038
2020-12-1,7438624,890000,20740000,0,2060000,4666000,9262906,1087122,22141212,80306,2477357,4482947
2020-12-2,7438624,895000,20740000,0,2060000,4666000,9479089,1110929,22102037,82753,2478549,4499721
2020-12-3,7438624,900000,20740000,0,2060000,4666000,9531954,1135818,22045639,81718,2490592,4497060
2020-12-4,7438624,905000,20740000,0,2060000,4666000,9705847,1150131,21943809,83704,2488938,4464024
2020-12-7,7438624,910000,20740000,0,2060000,4666000,9779902,1174658,21943809,83704,2488938,4464024
2020-12-8,7438624,915000,20740000,0,2060000,4666000,9724708,1187080,22131175,84694,2488938,4455714
2020-12-9,7438624,925000,20740000,0,2060000,4666000,9952483,1202317,21938212,80258,2463636,4454104
2020-12-10,7438624,930000,20740000,0,2060000,4666000,10082230,1200280,21938212,80258,2463636,4454104
2020-12-11,7438624,930000,20740000,0,2060000,4666000,10098899,1200280,21985635,81808,2454813,4470335
2020-12-14,7448624,935000,20740000,0,2060000,4666000,10157764,1214824,22154541,81808,2464622,4470335
2020-12-15,7463624,940000,20740000,0,2060000,4666000,10146513,1216676,22366623,85808,2477867,4492931
2020-12-16,7463624,945000,20740000,0,2060000,4666000,10137371,1220010,22485602,85808,2476288,4502836
2020-12-17,7463624,950000,20740000,0,2060000,4666000,10041979,1230439,22522012,84211,2489742,4513702
2020-12-18,7463624,955000,20740000,0,2060000,4666000,10005033,1232446,22484278,86947,2519687,4540135
2020-12-21,7763624,960000,21340000,0,2060000,4666000,10318011,1237447,23196618,87326,2521831,4540135
2020-12-22,7763624,965000,21390000,0,2060000,4666000,10233851,1244204,23578169,91460,2467248,4533269
2020-12-23,7763624,970000,21390000,0,2060000,4666000,10429256,1229512,23537844,90859,2476378,4582653
2020-12-24,7963624,975000,22620000,0,2210000,4969000,11078266,1250896,24742484,91888,2641339,4891146
2020-12-28,7963624,980000,22620000,0,2210000,4969000,11134807,1282397,24760182,91484,2646576,4867957
2020-12-29,7963624,985000,22620000,0,2210000,4969000,11080683,1291822,24657159,87333,2690184,4867992
2020-12-30,7963624,990000,22620000,0,2210000,4969000,11242005,1321506,24493036,89028,2692675,4864247
2020-12-31,7963624,995000,22620000,0,2210000,4969000,11242005,1354249,24525458,88236,2705845,4833028
2021-1-4,7963624,1000000,22620000,0,2210000,4969000,11546334,1359169,24011385,88290,2696657,4829611
2021-1-5,7963624,1005000,22620000,0,2210000,4969000,11659581,1402261,24356344,91246,2715410,4841889
2021-1-6,7963624,1010000,22620000,0,2210000,4969000,11507087,1427194,24081960,91808,2706090,4864886
2021-1-7,7963624,1015000,22620000,0,2210000,4969000,11562193,1419490,24660748,96037,2803049,4885863
2021-1-8,7963624,1020000,22620000,0,2210000,4969000,12203660,1454495,24973697,95168,2882411,4913924
2021-1-11,7963624,1025000,22620000,0,2210000,4969000,12555758,1528418,24802203,98830,2774855,4904959
2021-1-12,7963624,1030000,22620000,0,2210000,4969000,12491710,1538975,24898368,99119,2798555,4920131
2021-1-13,7963624,1035000,22620000,0,2210000,4969000,12347880,1539555,24929530,101831,2821045,4955113
2021-1-14,7963624,1040000,22620000,0,2210000,4969000,12384057,1544556,24876271,102660,2788059,4941702
2021-1-15,7968624,1045000,22620000,0,2210000,4969000,12193241,1548718,24664009,102679,2769440,4922369
2021-1-19,7968624,1055000,22620000,0,2210000,4969000,12040137,1488934,25030158,108184,2832458,4976255
2021-1-20,7968624,1060000,22620000,0,2210000,4969000,12078824,1536130,25390768,106828,2929341,5012019
2021-1-21,8468624,1065000,23420000,0,2210000,5271000,12693777,1549966,26387520,108138,2937094,5294991
2021-1-22,8468624,1070000,23420000,0,2210000,5271000,12639777,1577980,26558633,108722,2941402,5278932
2021-1-25,8618624,1075000,24420000,0,2310000,5271000,13089172,1571546,27764812,106395,3080142,5309725
2021-1-26,8618624,1080000,24420000,0,2310000,5271000,12803803,1615539,27860665,104739,3100270,5308523
2021-1-27,8618624,1085000,24624000,0,2310000,5271000,12666423,1580854,27475438,101772,3002188,5229482
2021-1-28,9018624,1090000,26124000,0,2410000,5473000,12779988,1574637,29383803,101859,3069637,5428603
2021-1-29,9018624,1095000,26124000,0,2410000,5473000,12446379,1550703,28617171,99268,3030204,5425881
2021-2-1,9018624,1100000,26124000,0,2410000,5473000,12553594,1516677,29067583,213486,3151591,5489863
2021-2-2,9018624,1105000,26124000,0,2410000,5473000,12760168,1562787,29401240,214829,3213615,5532197
2021-2-3,9018624,1110000,26124000,0,2410000,5473000,12768698,1590515,29458676,214584,3324057,5526229
2021-2-4,9018624,1115000,26124000,0,2410000,5473000,12615382,1611411,29790927,216862,3263511,5528121
2021-2-5,9018624,1120000,26124000,0,2410000,5473000,12691483,1588669,30007876,215003,3296343,5559957
2021-2-8,9418624,1125000,27324000,0,2410000,5675000,13122182,1611871,31295464,218036,3303212,5822799
2021-2-10,9618624,1135000,28124000,0,2710000,5675000,13186577,1600300,31720788,229108,3534325,5796992
2021-2-16,9618624,1145000,28124000,0,2710000,5877000,13637104,1646155,31599503,237316,3393777,5953221
2021-2-17,9618624,1145000,28144000,0,2710000,5877000,13394793,1654312,31599433,233095,3400207,5937093
2021-2-18,9618624,1145000,28144000,0,2710000,5877000,13171632,1634664,31451469,228636,3407574,5951916
2021-2-19,10218624,1145000,30644000,0,2910000,6280000,13996945,1608986,33873884,234193,3566549,6331849
2021-2-23,10218624,1145000,30719000,0,2910000,6280000,13718803,1603564,33373398,221912,3448121,6314457
2021-2-24,10218624,1145000,30719000,0,2910000,6280000,13617428,1569360,33626419,232965,3521089,6347414
2021-2-25,10418624,1155000,32119000,0,2910000,6280000,14228958,1579361,33889314,217797,3373598,6234488
2021-2-26,10418624,1155000,32519000,0,2910000,6280000,13863324,1639064,34656842,221459,3370787,6211134
2021-3-3,10418624,1155000,32519000,0,2910000,6280000,14106879,1606805,34494122,215224,3349742,6299343
