Date,삼성전자,삼성전자우,SK하이닉스,TIGER TOP10,TIGER 차이나전기차SOLACTIVE,TIGER 2차전지테마,KODEX 2차전지산업,강원랜드,대한항공,SPY,AAPL,QQQ,MSFT,GOOGL,SPYD,ARKK,KO,RSP,IIVI,TSLA,AMZN,O,ARKG,VZ,JPM,PRNT,VGAC,SCHB,TLT,EWU,VWO,EWG,VWOB,VTIP,EWH,EWJ,VTEB,LQD,EWA
1997-03-22,982.0,366.0,380745.0,,,,,,6980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-03-24,1009.0,373.0,395881.0,,,,,,7513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-03-25,1076.0,402.0,427319.0,,,,,,7464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-03-26,1067.0,417.0,451771.0,,,,,,7755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-03-27,1032.0,417.0,440127.0,,,,,,7513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-03-28,1039.0,420.0,451771.0,,,,,,7464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-03-29,1053.0,421.0,454099.0,,,,,,7755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-03-31,1065.0,452.0,471565.0,,,,,,7222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-01,1067.0,433.0,454099.0,,,,,,7367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-02,1101.0,434.0,454099.0,,,,,,7561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-03,1103.0,426.0,448278.0,,,,,,7513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-04,1103.0,424.0,450606.0,,,,,,7513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-07,1135.0,442.0,464579.0,,,,,,7755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-08,1142.0,458.0,471565.0,,,,,,7852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-09,1147.0,458.0,487866.0,,,,,,7755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-10,1119.0,443.0,469236.0,,,,,,7561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-11,1119.0,445.0,470400.0,,,,,,7658.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-12,1113.0,446.0,461086.0,,,,,,7707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-14,1128.0,449.0,477387.0,,,,,,7609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-15,1112.0,445.0,465743.0,,,,,,7609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-16,1101.0,437.0,447113.0,,,,,,7561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-17,1085.0,426.0,423826.0,,,,,,7609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-18,1071.0,420.0,423826.0,,,,,,7658.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-19,1110.0,427.0,434305.0,,,,,,7852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-21,1094.0,427.0,431977.0,,,,,,7755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-22,1067.0,414.0,421497.0,,,,,,7658.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-23,1060.0,409.0,416840.0,,,,,,7415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-24,1060.0,409.0,416840.0,,,,,,7271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-25,1041.0,408.0,413347.0,,,,,,7367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-26,1085.0,420.0,419169.0,,,,,,7464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-28,1094.0,418.0,402868.0,,,,,,7852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-29,1087.0,415.0,418004.0,,,,,,7997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-04-30,1078.0,415.0,414511.0,,,,,,7804.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-02,1090.0,409.0,400539.0,,,,,,7415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-03,1087.0,402.0,408689.0,,,,,,7609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-06,1092.0,388.0,419169.0,,,,,,7367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-07,1085.0,383.0,416840.0,,,,,,7173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-08,1055.0,376.0,424990.0,,,,,,7029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-09,1065.0,371.0,431977.0,,,,,,6785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-10,1065.0,371.0,434305.0,,,,,,6640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-12,1085.0,377.0,454099.0,,,,,,6495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-13,1099.0,377.0,459921.0,,,,,,6930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-15,1131.0,407.0,492523.0,,,,,,7222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-16,1121.0,417.0,489030.0,,,,,,7367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-17,1117.0,411.0,480880.0,,,,,,7222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-19,1126.0,408.0,500674.0,,,,,,7271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-20,1156.0,408.0,501838.0,,,,,,7609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-21,1129.0,407.0,491359.0,,,,,,7609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-22,1117.0,395.0,466907.0,,,,,,7464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-23,1106.0,390.0,469236.0,,,,,,7513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-24,1101.0,392.0,468072.0,,,,,,7561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-26,1092.0,390.0,456428.0,,,,,,7464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-05-27,1099.0,390.0,465743.0,,,,,,7464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
